"GAME_DATE_EST","GAME_SEQUENCE","GAME_ID","TEAM_ID","TEAM_ABBREVIATION","TEAM_CITY_NAME","TEAM_NICKNAME","TEAM_WINS_LOSSES","PTS_QTR1","PTS_QTR2","PTS_QTR3","PTS_QTR4","PTS_OT1","PTS_OT2","PTS_OT3","PTS_OT4","PTS_OT5","PTS_OT6","PTS_OT7","PTS_OT8","PTS_OT9","PTS_OT10","PTS"
"2019-06-05T00:00:00","1","0041800403","1610612761","TOR","Toronto","Raptors","2-1","36","24","36","27","0","0","0","0","0","0","0","0","0","0","123"
"2019-06-05T00:00:00","1","0041800403","1610612744","GSW","Golden State","Warriors","1-2","29","23","31","26","0","0","0","0","0","0","0","0","0","0","109"
