"GAME_ID","TEAM_ID","TEAM_NAME","TEAM_ABBREVIATION","TEAM_CITY","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS"
"0041800403","1610612761","Raptors","TOR","Toronto","240:00","43","82","0.524","17","38","0.447","20","21","0.952","5","35","40","30","9","10","14","22","123","14"
"0041800403","1610612744","Warriors","GSW","Golden State","240:00","36","91","0.396","12","36","0.333","25","30","0.833","13","28","41","25","8","3","14","21","109","-14"
